Golden_Id,First_Name,Last_Name,Email,City,Street,Country,Currency_Code,DUNS,Address,Phone,Company,Customer_Classification,LBU,Market_Segment
1,Kenna,Dagwell,kdagwell0@tinyurl.com,Pigcawayan,Sunnyside,Philippines,PHP,35-751-8883,Tennyson,809-720-8464,Ntags,Honda,Granite,Waterproofer
2,Hailey,Adamowicz,hadamowicz1@bloglines.co.tc,Stráž nad Nisou,Center,Czech Republic,CZK,48-582-2414,Jay,129-380-2548,Thoughtworks,Hyundai,Plastic,Painter
3,Cchaddie,Rayment,crayment2@hp.co.tc,Yelizavetino,Shoshone,Russia,RUB,95-702-9369,Magdeline,859-712-0649,Vimbo,Chrysler,Vinyl,Plasterers
4,Skip,MacAulay,smacaulay3@youku.co.tc,Xiashitai,Vera,CHN,CNY,51-012-0317,Hanover,936-252-5363,Chatterpoint,Ford,Stone,Terrazzo
5,Jarad,Jardin,jjardin4@elegantthemes.co.tc,Yangzi,Kedzie,CHN,CNY,47-106-7225,Linden,398-846-3017,Mynte,Saab,Plexiglass,Tile Setter
6,Garrik,Pearne,gpearne5@ox.ac.uk,Vale da Bajouca,Harper,Portugal,EUR,50-738-2707,Northland,778-356-6665,Izio,Volkswagen,Brass,Stucco Mason
7,Nickey,Boot,nboot6@ning.co.tc,Saint-Paul,Riverside,Reunion,EUR,54-132-6478,Ramsey,122-809-6017,Zoovu,Ford,Granite,Tile Setter
8,Don,Bendig,dbendig7@phpbb.co.tc,Ōnojō,Farwell,Japan,JPY,88-127-4251,Hanover,803-934-3413,Oyoba,Kia,Brass,Tile Setter
9,Liza,Petroff,lpetroff8@auda.org.au,Ayrihuanca,Laurel,Peru,PEN,63-252-0877,Hovde,715-520-4355,Blogtag,Mitsubishi,Stone,Waterproofer
10,Lorain,Osinin,losinin9@eepurl.co.tc,Yuquan,Vera,CHN,CNY,64-424-2836,Birchwood,588-102-5027,Jabbersphere,Ford,Plastic,Equipment Operator
11,Hailey,DelaField,hdelafielda@tuttocitta.it,Eg-Uur,Pepper Wood,Mongolia,MNT,67-851-4687,Schlimgen,506-771-7740,Trudeo,Mercedes-Benz,Plexiglass,Safety Officer
12,Kacy,Cordero,kcorderob@admin.ch,Zhugentan,Sage,CHN,CNY,58-653-5273,Sundown,843-313-0268,Skyble,GMC,Plastic,Painter
13,Basia,Drewery,bdreweryc@yahoo.co.jp,Saqqez,Dennis,Iran,IRR,27-115-0299,Linden,979-145-8426,Layo,Hyundai,Brass,Concrete Finisher
14,Herc,Oats,hoatsd@example.co.tc,Donim,Old Shore,Portugal,EUR,32-180-6860,Del Mar,166-822-7968,InnoZ,Land Rover,Plastic,Boilermaker
15,Sella,Wignall,swignalle@amazon.co.tc,Krzanowice,Schlimgen,Poland,PLN,71-535-0107,Dawn,312-766-7891,Dabshots,Bentley,Granite,Pipelayer
16,Tanhya,McDermot,tmcdermotf@indiatimes.co.tc,Rio de Janeiro,Crescent Oaks,Brazil,BRL,57-510-8211,Fulton,360-929-3102,Gabspot,Suzuki,Brass,Plumber
17,Brade,Kelledy,bkelledyg@aol.co.tc,Shuiyin,Havey,CHN,CNY,62-329-8517,Eagle Crest,406-852-1832,Shufflester,Buick,Wood,Brickmason
18,Lorrie,Walkley,lwalkleyh@opensource.org,Solna,Bowman,Sweden,SEK,03-121-3366,Badeau,796-186-6819,Pixoboo,Dodge,Aluminum,Laborer
19,Alyson,Cunde,acundei@so-net.ne.jp,Guang’an,Meadow Ridge,CHN,CNY,21-960-7838,Maple Wood,318-358-9574,Mynte,GMC,Stone,Laborer
20,Rufe,Parrott,rparrottj@miibeian.gov.cn,Sofrino,Express,Russia,RUB,04-250-3764,Orin,469-430-3069,Katz,Pontiac,Plexiglass,Sheet Metal Worker
21,Nady,Browncey,nbrownceyk@hao123.co.tc,Heimahe,Leroy,CHN,CNY,18-705-8781,Northland,928-607-9833,Livepath,BMW,Plastic,Laborer
22,Vernon,Payler,vpaylerl@ask.co.tc,Vilufushi,Dryden,Maldives,MVR,03-031-9551,Emmet,846-863-9519,Jaxspan,Honda,Rubber,Boilermaker
23,Kristian,Gotcher,kgotcherm@epa.gov,Yuquan,Graedel,CHN,CNY,11-464-7800,Atwood,615-735-0412,Skibox,Ford,Granite,Boilermaker
24,Urbano,McArt,umcartn@example.co.tc,Oslomej,Oak,Macedonia,MKD,64-131-7619,Michigan,471-570-2733,Jayo,Honda,Glass,Refridgeration
25,Sanderson,McKenzie,smckenzieo@is.gd,Yanglin,Tennessee,CHN,CNY,38-147-9384,Comanche,546-857-3103,Yadel,Mazda,Steel,Brickmason
26,Brewster,Roget,brogetp@xing.co.tc,Ladozhskaya,Sycamore,Russia,RUB,86-659-5806,Meadow Valley,602-955-4940,Zoonoodle,Mitsubishi,Aluminum,Plumber
27,Patrick,Baile,pbaileq@amazon.co.uk,Tønsberg,Waywood,Norway,NOK,47-220-9723,Marquette,464-386-9687,Feednation,Merkur,Plastic,Refridgeration
28,Ame,Bruckent,abruckentr@creativecommons.org,Saint-Brieuc,Mccormick,France,EUR,66-567-7679,Tennessee,384-319-9131,Photospace,Acura,Brass,Ironworker
29,Harlie,Lawler,hlawlers@economist.co.tc,Bayt Līd,Gerald,Palestinian Territory,ILS,75-530-1221,Meadow Ridge,613-888-4393,Jamia,Chevrolet,Rubber,Brickmason
30,Ara,Janc,ajanct@cdc.gov,Ikongo,Norway Maple,Madagascar,MGA,17-336-0505,South,323-914-4006,Blognation,Lincoln,Glass,Painter
31,Gena,Scamp,gscampu@dyndns.org,Huangyuan Chengguanzhen,Cambridge,CHN,CNY,26-351-6663,Fulton,927-370-3685,Mymm,Volvo,Rubber,Pipefitter
